sample,group,short_reads_1,short_reads_2,long_reads
C4,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_101/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_101_S13_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_101/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_101_S13_L004_R2_001.fastq.gz,
C7,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_155/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_155_S67_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_155/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_155_S67_L004_R2_001.fastq.gz,
C11_t.r,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_117/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_117_S29_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_117/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_117_S29_L004_R2_001.fastq.gz,
C3,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_131/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_131_S43_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_131/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_131_S43_L004_R2_001.fastq.gz,
C1,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_153/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_153_S65_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_153/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_153_S65_L004_R2_001.fastq.gz,
C11,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_156/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_156_S68_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_156/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_156_S68_L004_R2_001.fastq.gz,
C6,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_134/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_134_S46_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_134/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_134_S46_L004_R2_001.fastq.gz,
C8,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_173/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_173_S85_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_173/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_173_S85_L004_R2_001.fastq.gz,
C9,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_174/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_174_S86_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_174/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_174_S86_L004_R2_001.fastq.gz,
C2,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_179/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_179_S91_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_179/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_179_S91_L004_R2_001.fastq.gz,
C5,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_180/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_180_S92_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_180/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_180_S92_L004_R2_001.fastq.gz,
C10,F1_L,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_169/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_169_S81_L004_R1_001.fastq.gz,/proj/snic2020-5-486/dbp_gut_microbiome/DataDelivery_2023-01-10_15-17-23_ngisthlm00104/files/P27457/P27457_169/02-FASTQ/221205_A00689_0706_BHYV7CDSX3/P27457_169_S81_L004_R2_001.fastq.gz,
